City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port blair,11.6667,92.75,25.02,94,100,1.03,IN,1690145458
1,la mira,18.035,-102.3266,31.64,58,27,4.63,MX,1690145773
2,port alfred,-33.5906,26.891,12.88,83,100,3.13,ZA,1690145299
3,waitangi,-43.9535,-176.5597,12.68,97,99,0.89,NZ,1690144974
4,luderitz,-26.6481,15.1594,14.83,45,100,7.13,NA,1690145174
5,fort mcmurray,56.7268,-111.381,25.73,61,0,2.57,CA,1690145426
6,guerrero negro,27.9769,-114.0611,27.42,48,4,5.87,MX,1690145178
7,san jose del cabo,23.0589,-109.6977,32.6,74,100,3.13,MX,1690145481
8,kerikeri,-35.2268,173.9474,9.39,95,2,0.45,NZ,1690145776
9,puerto natales,-51.7236,-72.4875,-1.46,90,8,1.5,CL,1690144981
10,new norfolk,-42.7826,147.0587,10.4,87,94,1.93,AU,1690145329
11,hamilton,39.1834,-84.5333,31.0,48,40,4.12,US,1690145311
12,pisco,-13.7,-76.2167,23.03,60,0,3.09,PE,1690145302
13,happy valley-goose bay,53.3168,-60.3315,25.17,65,75,4.63,CA,1690145745
14,adamstown,-25.066,-130.1015,20.37,71,2,8.0,PN,1690145270
15,namibe,-15.1961,12.1522,17.86,74,83,3.73,AO,1690145778
16,edinburgh of the seven seas,-37.0676,-12.3116,13.34,80,66,11.06,SH,1690145275
17,baardheere,2.3446,42.2764,24.65,72,55,7.68,SO,1690145779
18,kingston,17.997,-76.7936,36.8,60,20,11.83,JM,1690145349
19,newman,37.3138,-121.0208,43.92,6,100,4.04,US,1690145418
20,vicuna,-30.0319,-70.7081,23.21,32,100,1.07,CL,1690145780
21,tiksi,71.6872,128.8694,6.15,68,4,2.83,RU,1690145100
22,masterton,-40.9597,175.6575,7.71,98,100,2.03,NZ,1690145780
23,kone,-21.0595,164.8658,18.04,58,1,1.43,NC,1690145398
24,namdrik,5.5994,168.1028,28.47,79,62,7.49,MH,1690145781
25,talnakh,69.4865,88.3972,11.23,88,11,0.51,RU,1690144997
26,yulinshi,38.2906,109.7494,24.63,39,85,1.55,CN,1690145782
27,weno,7.4515,151.8468,26.97,89,100,2.57,FM,1690145782
28,san luis de la loma,17.2706,-100.8939,32.28,56,24,3.2,MX,1690145178
